Priority,URL,Expected Status,Expected Final URL,Type,Ads Used?,Test With Params,Owner,Result,Notes
P1,https://deckmastersak.com/,200,https://deckmastersak.com/,core-page,Yes,Yes,,,Homepage loads
P1,https://deckmastersak.com/contact/,200,https://deckmastersak.com/contact/,core-page,Yes,Yes,,,Primary lead page
P1,https://deckmastersak.com/schedule/,200,https://deckmastersak.com/schedule/,core-page,Yes,Yes,,,Quote flow page
P1,https://deckmastersak.com/services/,200,https://deckmastersak.com/services/,core-page,Yes,Yes,,,
P1,https://deckmastersak.com/gallery/,200,https://deckmastersak.com/gallery/,core-page,Yes,Yes,,,
P1,https://deckmastersak.com/about/,200,https://deckmastersak.com/about/,core-page,Yes,Yes,,,
P1,https://deckmastersak.com/privacy/,200,https://deckmastersak.com/privacy/,policy,No,No,,,
P1,https://deckmastersak.com/privacy-policy/,301,https://deckmastersak.com/privacy,legacy-redirect,No,No,,,
P1,https://deckmastersak.com/blog/,200,https://deckmastersak.com/blog/,blog-index,Maybe,Yes,,,
P1,https://deckmastersak.com/deck-benefits/,200,https://deckmastersak.com/deck-benefits/,blog-post,No,No,,,
P1,https://deckmastersak.com/best-decking-materials/,200,https://deckmastersak.com/best-decking-materials/,blog-post,No,No,,,
P1,https://deckmastersak.com/10-cool-backyard-deck-design-ideas/,200,https://deckmastersak.com/10-cool-backyard-deck-design-ideas/,blog-post,No,No,,,
P1,https://deckmastersak.com/is-trex-decking-right-for-you/,200,https://deckmastersak.com/is-trex-decking-right-for-you/,blog-post,No,No,,,
P1,https://deckmastersak.com/sitemap-index.xml,200,https://deckmastersak.com/sitemap-index.xml,seo,No,No,,,
P1,https://deckmastersak.com/tag/deck/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P1,https://deckmastersak.com/category/deck/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P1,https://deckmastersak.com/author/jordan_webb/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P1,https://deckmastersak.com/gallery/homepage/,301,https://deckmastersak.com/gallery,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/alaska/,200,https://deckmastersak.com/alaska/,core-page,Maybe,Yes,,,
P2,https://deckmastersak.com/dock-building/,200,https://deckmastersak.com/dock-building/,core-page,Maybe,Yes,,,
P2,https://deckmastersak.com/hiring/,200,https://deckmastersak.com/hiring/,core-page,No,No,,,
P2,https://deckmastersak.com/wall-of-love/,200,https://deckmastersak.com/wall-of-love/,core-page,Maybe,Yes,,,
P2,https://deckmastersak.com/featured-project/,200,https://deckmastersak.com/featured-project/,core-page,Maybe,Yes,,,
P2,https://deckmastersak.com/partners/,200,https://deckmastersak.com/partners/,core-page,No,No,,,
P2,https://deckmastersak.com/terms/,200,https://deckmastersak.com/terms/,policy,No,No,,,
P2,https://deckmastersak.com/alaska-custom-deck-cost-2026-guide/,200,https://deckmastersak.com/alaska-custom-deck-cost-2026-guide/,blog-post,No,No,,,
P2,https://deckmastersak.com/definitive-2026-deck-building-cost-guide/,200,https://deckmastersak.com/definitive-2026-deck-building-cost-guide/,blog-post,No,No,,,
P2,https://deckmastersak.com/deck-masters-introduction/,200,https://deckmastersak.com/deck-masters-introduction/,blog-post,No,No,,,
P2,https://deckmastersak.com/tag/best-decking-materials/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/deck-patio-combo/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/small-simple/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/deck-ideas/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/benches/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/birdhouses/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/affordable-home-addition/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/exotic-woods/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/trex-decking-vs-other-decking/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/two-story-deck/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/pergolas-gazebos/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/no-railings/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/trex-decking-composite-wood/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/kempas/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/10-cool-backyard-deck-design-ideas/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/australian-cypress/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/what-is-trex-decking/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/built-in-seating/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/tigerwood/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/author/alpha/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/types-of-decking-materials/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/unique-railings/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/author/mauricio/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
